Index,Subzone,All_comp,FalseAlarm_comp,Arrest_comp,Cleared_comp,NoContact_comp,NoReport_comp,Resolved_comp,Filed_comp,Calls_comp,BurgAlarm_comp,Suspicious_comp,Shots_comp,Intox_comp,Drugs_comp,Assault_comp,Armed_comp,Disturb_comp,Fireworks_comp,Noise_comp,Stalking_comp,call_ALL,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,call_Armed subject,call_Assault,call_Burglar alarm,call_Burglary,call_Disturbance,call_Domestic,call_FW FIREWORKS,call_Fight,call_Loitering,call_Message delivery,call_Noise complaint,call_Possible drugs present,call_Prowler,call_Public Intoxication,call_Shots fired,call_Special residence patrol,call_Special watch,call_Stalking,call_Suspicious activity,call_Trespassing,call_Vandalism,call_Welfare check,disp_15-ARREST,disp_66-CANCEL,disp_9-VERBAL,disp_ADV-ADVICE GIVEN,disp_AST-ASSIST,disp_CI-CITY CITATION,disp_CLR-CLEARED BY DISPATCH,disp_CM-CIVIL MATTER,disp_COMP,disp_DISR,disp_Disregard,disp_Domestic Violence Report,disp_FA-FALSE ALARM,disp_FD-FOUNDED ALARM,disp_FI-FIELD INTERVIEW,disp_Gone on Arrival,disp_IRT Report,disp_K9 Report,disp_MC-STATE MISD CITATION,disp_MDT-BOLO'D MDT,disp_MSG-MESSAGE DELIVERED,disp_N25-NO CONTACT,disp_NR-NO REPORT,disp_Other,disp_PR-PROPERTY RETURNED,disp_RES-RESOLVED,disp_RF-REPORT FILED,disp_Runaway juvenile (entered NCIC),disp_SAT-SETTLED AMONG SELVES,disp_TES-TEST,disp_TI -TOW IN,disp_Truancy,disp_VA Hospital Alarm (Fire),SqFootage,HousingUnits,Population,Population_Male,Population_Female,Worked,Workers who travel to work,Drove alone to Work,Carpooled to Work,Population_3andover,Enrolled in school,"Enrolled in nursery school, preschool",Enrolled in kindergarten,"Enrolled in college, undergraduate years",Graduate or professional school,Not enrolled in school,Households_earnings,Households_wageorsalaryincome,Households_selfemploymentincome,Households_interest_dividends,Households_SSI,Households_publicassistanceincome,MedianAge_Total,MedianAge_Male,MedianAge_Female,HouseholdIncome_Median,HouseholdIncome_Median_25to44,HouseholdIncome_Median_65andover,HouseholdIncome_Median_45to64,Income_PerCapita
10,ZONE3E,0,0,0,0,0,0,0,0,348,6,54,6,6,12,6,0,12,0,36,0,58,12,7,6,7,10,11,8,0,0,0,0,0,0,0,0,0,0,0,61,0,1,7,1,2,14,0,0,0,2,6,2,0,2,1,0,0,0,10,0,1,12,4,3,0,4,3,2,1,0,0,0,0,0,5,0,0,0,0,0,1,0,0,6,9,0,0,10,13,0,0,0,0,0,0,85087944.85,270,16443,0.488049626,0.511950374,8145,0.975445058,0.805402087,0.095887047,15628,0.558676734,0.012413617,0.003455337,0.406577937,0.020668032,0.441323266,4564,0.976993865,0.095092025,0.132340053,0.035933392,0.038343558,23,23,23,35085,39587,62030,58637,15470
11,ZONE4B,0,0,0,0,0,0,0,0,25,0,4,0,0,0,0,0,1,0,2,0,25,6,4,2,3,4,2,4,0,0,0,0,0,0,0,0,0,0,0,25,0,0,9,0,0,6,0,1,0,0,2,0,0,0,0,0,0,0,4,1,0,2,1,1,0,1,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,5,0,0,5,1,0,0,0,0,0,0,160548828.8,339,16874,0.485539884,0.514460116,8880,0.961036036,0.840427928,0.105968468,16408,0.317101414,0.013286202,0.031021453,0.066248172,0.016699171,0.682898586,5413,0.962867172,0.111767966,0.143173841,0.036024386,0.015518197,35,33,37,82487,82696,60411,84617,33754
12,ZONE4C,0,0,0,0,0,0,0,0,148,0,16,0,8,4,4,8,20,0,4,0,37,6,2,7,11,4,5,4,0,0,0,0,0,0,0,0,0,0,0,39,4,1,5,0,2,8,0,0,1,0,1,1,0,2,0,0,0,0,4,2,1,7,2,0,0,1,1,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,6,0,0,14,4,0,0,0,0,0,0,178708188.2,380,22203,0.495473585,0.504526415,12294,0.970798764,0.899707174,0.05791443,21055,0.289527428,0.020850154,0.017003087,0.076513892,0.010258846,0.710472572,7223,0.943652222,0.106742351,0.136369929,0.010798837,0.019244081,33,34,31,58654,62253,36146,63319,25579
13,ZONE5A,0,0,0,0,0,0,0,0,95,5,20,0,0,5,0,10,15,0,10,0,19,6,1,5,1,5,2,1,0,0,0,0,0,0,0,0,0,0,0,21,4,0,0,1,1,5,0,0,1,0,2,1,0,0,0,0,0,0,4,1,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,2,3,0,0,0,0,0,0,14008567.4,48,2554,0.38449491,0.61550509,1502,0.991344874,0.970039947,0.010652463,2409,0.335408883,0.00788709,0,0.258198423,0.00373599,0.664591117,860,1,0.046511628,0.040697674,0.011627907,0.052325581,24,30,23,34549,46625,15750,38017,16614
14,ZONE5B,0,0,0,0,0,0,0,0,168,12,54,6,0,6,0,0,12,0,0,0,28,3,7,3,3,3,5,4,0,0,0,0,0,0,0,0,0,0,0,28,0,0,5,2,1,2,0,0,0,0,0,1,0,0,1,0,0,0,9,1,0,6,1,0,0,0,3,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,5,0,0,3,5,0,0,0,0,0,0,71266466.78,233,9783,0.538485127,0.461514873,4522,0.984298983,0.806501548,0.137107475,9206,0.36019987,0.025092331,0.017054095,0.162176841,0.044318922,0.63980013,3021,0.974180735,0.072823568,0.11386958,0.042370076,0.09632572,27,27,28,29922,37845,29634,47085,17043
15,ZONE5C,0,0,0,0,0,0,0,0,80,0,40,0,0,0,0,0,5,0,5,0,16,3,1,4,1,2,3,2,0,0,0,0,0,0,0,0,0,0,0,16,0,0,2,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,4,0,0,2,2,0,0,0,0,0,0,41811770.52,143,3696,0.506222944,0.493777056,1851,0.929227445,0.808752026,0.078876283,3599,0.303695471,0.015282023,0.013337038,0.094748541,0.020283412,0.696304529,1183,0.944209637,0.180896027,0.282333052,0.038038884,0.024513948,36,31,44,50335,50313,34793,65231,35589
16,ZONE5D,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51888770.74,80,2846,0.505270555,0.494729445,1495,0.985953177,0.914381271,0.04548495,2788,0.321377331,0,0.036585366,0.081420373,0.010043042,0.678622669,771,0.95849546,0.13229572,0.217898833,0.031128405,0,36,32,40,69811,102589,32045,69947,26675
17,ZONE6A,0,0,0,0,0,0,0,0,30,0,6,0,0,2,0,0,0,0,0,0,15,2,4,2,1,3,0,4,0,0,0,0,0,0,0,0,0,0,0,16,0,0,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,5,2,0,0,0,0,0,0,193950592.3,393,14516,0.494902177,0.505097823,6997,0.94397599,0.8647992,0.066028298,14188,0.276078376,0.012475331,0.007189174,0.046870595,0.012263885,0.723921624,4359,0.973388392,0.173434274,0.331039229,0.032805689,0.011699931,44,41,45,94733,97535,61745,114009,41097
18,ZONE6B,0,0,0,0,0,0,0,0,24,0,3,0,0,0,3,0,0,0,0,0,8,1,1,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,71519797.81,119,4503,0.462802576,0.537197424,2370,0.978902954,0.923628692,0.03628692,4367,0.297458209,0.004121823,0.030684681,0.088161209,0.003892833,0.702541791,1313,0.936785986,0.168316832,0.290175171,0.05102818,0.0312262,37,35,40,71232,68334,47214,80335,28154
19,ZONE6C,0,0,0,0,0,0,0,0,304,0,112,8,0,0,0,0,40,0,8,0,38,5,4,7,4,4,4,9,0,0,0,0,0,0,0,0,0,0,0,37,0,0,7,0,2,3,0,0,1,0,1,0,0,0,1,0,0,0,14,2,0,6,1,1,0,1,2,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7,8,0,0,8,2,0,0,0,0,0,0,83920696.36,176,7759,0.447609228,0.552390772,3688,0.962039046,0.89181128,0.042570499,7608,0.218191377,0.009989485,0.024710831,0.04679285,0.005783386,0.781808623,2492,0.936195827,0.184991974,0.2929374,0.046548957,0.023274478,38,37,40,48009,47873,47555,54849,25295
20,ZONE7B,0,0,0,0,0,0,0,0,86,0,10,0,2,2,0,0,4,0,8,2,43,8,4,4,7,8,7,7,0,0,0,0,0,0,0,0,0,0,0,45,0,0,11,0,0,12,0,0,0,1,4,1,0,1,0,0,0,1,5,2,3,4,3,0,3,0,1,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,1,4,4,0,0,6,9,0,0,0,0,0,0,71683309.47,227,12162,0.532560434,0.467439566,6062,0.962553613,0.875618608,0.065819861,11851,0.313306894,0.011475825,0.011813349,0.081512109,0.017973167,0.686693106,3969,0.990677753,0.064247921,0.153187201,0.009322247,0.019400353,35,30,37,60729,82933,36029,63865,27667
21,ZONE7C,0,0,0,0,0,0,0,0,27,0,9,0,0,3,0,0,3,0,0,0,9,1,1,0,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,1,2,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,53630347.61,238,8040,0.478233831,0.521766169,3991,0.95013781,0.842144826,0.095965923,7621,0.267418974,0.014958667,0.015089883,0.037265451,0.014171369,0.732581026,2452,0.98776509,0.105628059,0.201060359,0.024469821,0.033849918,36,36,36,79633,85153,51478,89011,30844
22,ZONE7D,0,0,0,0,0,0,0,0,15,0,6,0,0,0,0,0,0,0,3,0,5,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,36142020.32,45,1179,0.489397795,0.510602205,766,0.951697128,0.898172324,0.053524804,1151,0.149435274,0,0.008688097,0.043440487,0.021720243,0.850564726,416,0.949519231,0.194711538,0.274038462,0.019230769,0,45,48,43,78477,79000,68194,97625,37077
