Subzone,YEAR_WEEK,SUB_YEAR_WEEK,All_comp,FalseAlarm_comp,Arrest_comp,Cleared_comp,NoContact_comp,NoReport_comp,Resolved_comp,Filed_comp,Calls_comp,BurgAlarm_comp,Suspicious_comp,Shots_comp,Intox_comp,Drugs_comp,Assault_comp,Armed_comp,Disturb_comp,Fireworks_comp,Noise_comp,Stalking_comp,PredictedBurg,ActualBurg,BurgStatus,BurgStatus2
ZONE6B,2009_10,2009_10_ZONE6B,51,3,0,0,9,12,6,6,63,3,12,0,3,0,0,0,3,0,18,0,0,0,0,0
ZONE6C,2009_10,2009_10_ZONE6C,184,48,0,0,32,32,24,8,200,8,40,0,8,0,0,0,32,0,0,8,1,0,0,0
ZONE7B,2009_10,2009_10_ZONE7B,58,16,2,2,10,10,4,10,60,2,4,0,0,0,4,0,2,0,6,0,1,0,0,0
ZONE7C,2009_10,2009_10_ZONE7C,15,6,0,0,0,3,3,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
ZONE7D,2009_10,2009_10_ZONE7D,6,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZONE1A,2009_11,2009_11_ZONE1A,280,56,21,7,42,63,49,14,287,14,21,0,21,14,7,0,49,0,21,7,1,2,1,1
ZONE1B,2009_11,2009_11_ZONE1B,99,0,9,0,45,18,0,18,99,36,9,27,0,0,0,0,9,0,18,0,1,2,1,1
ZONE1C,2009_11,2009_11_ZONE1C,460,40,20,20,50,80,90,60,470,20,60,20,30,20,10,0,50,0,20,0,1,0,0,0
ZONE1D,2009_11,2009_11_ZONE1D,315,18,9,0,54,45,54,63,324,54,63,9,0,18,0,0,36,0,18,0,2,3,1,1
ZONE2A,2009_11,2009_11_ZONE2A,84,20,12,0,12,4,4,8,88,0,16,0,0,0,8,0,0,0,4,0,1,0,0,0
ZONE2B,2009_11,2009_11_ZONE2B,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZONE2D,2009_11,2009_11_ZONE2D,4,0,0,0,0,1,1,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ZONE3B,2009_11,2009_11_ZONE3B,18,0,0,0,6,4,4,2,18,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0
ZONE3C,2009_11,2009_11_ZONE3C,84,6,0,0,24,18,0,30,84,36,12,0,0,0,6,0,0,0,12,0,2,5,1,1
ZONE3D,2009_11,2009_11_ZONE3D,98,42,21,0,0,7,14,7,98,7,0,0,7,0,0,0,7,0,21,0,2,0,0,0
ZONE3E,2009_11,2009_11_ZONE3E,312,6,18,0,66,84,42,36,342,48,84,6,0,6,0,0,6,0,90,18,9,5,1,1
ZONE4B,2009_11,2009_11_ZONE4B,13,3,0,1,2,3,2,1,13,1,3,0,0,0,0,0,1,0,1,1,1,0,0,0
ZONE4C,2009_11,2009_11_ZONE4C,76,16,4,0,12,8,0,20,76,4,12,0,0,0,8,0,4,0,0,0,0,1,1,0
ZONE5A,2009_11,2009_11_ZONE5A,105,15,0,0,10,25,10,20,105,25,10,0,5,0,5,0,10,0,15,0,1,1,1,0
ZONE5B,2009_11,2009_11_ZONE5B,222,18,6,0,18,66,18,54,228,30,36,6,0,0,0,0,12,0,18,0,3,5,1,1
ZONE5C,2009_11,2009_11_ZONE5C,25,0,0,0,0,5,0,10,30,0,10,0,0,0,0,0,10,0,5,0,0,0,0,0
ZONE5D,2009_11,2009_11_ZONE5D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZONE6A,2009_11,2009_11_ZONE6A,20,12,0,0,4,0,2,0,22,0,2,4,0,0,2,0,0,0,0,0,1,0,0,0
ZONE6B,2009_11,2009_11_ZONE6B,57,12,0,3,0,18,6,3,60,3,3,0,3,0,0,0,12,0,0,3,1,0,0,0
