,SUB_YEAR_WEEK,Subzone,WEEK,MONTH,YEAR,YEAR_WEEK,call_ALL,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,call_Armed subject,call_Assault,call_Burglar alarm,call_Burglary,call_Disturbance,call_Domestic,call_FW FIREWORKS,call_Fight,call_Loitering,call_Message delivery,call_Noise complaint,call_Possible drugs present,call_Prowler,call_Public Intoxication,call_Shots fired,call_Special residence patrol,call_Special watch,call_Stalking,call_Suspicious activity,call_Trespassing,call_Vandalism,call_Welfare check,disp_15-ARREST,disp_66-CANCEL,disp_9-VERBAL,disp_ADV-ADVICE GIVEN,disp_AST-ASSIST,disp_CI-CITY CITATION,disp_CLR-CLEARED BY DISPATCH,disp_CM-CIVIL MATTER,disp_COMP,disp_DISR,disp_Disregard,disp_Domestic Violence Report,disp_FA-FALSE ALARM,disp_FD-FOUNDED ALARM,disp_FI-FIELD INTERVIEW,disp_Gone on Arrival,disp_IRT Report,disp_K9 Report,disp_MC-STATE MISD CITATION,disp_MDT-BOLO'D MDT,disp_MSG-MESSAGE DELIVERED,disp_N25-NO CONTACT,disp_NR-NO REPORT,disp_Other,disp_PR-PROPERTY RETURNED,disp_RES-RESOLVED,disp_RF-REPORT FILED,disp_Runaway juvenile (entered NCIC),disp_SAT-SETTLED AMONG SELVES,disp_TES-TEST,disp_TI -TOW IN,disp_Truancy,disp_VA Hospital Alarm (Fire),SqFootage,HousingUnits,Population,Population_Male,Population_Female,Worked,Workers who travel to work,Drove alone to Work,Carpooled to Work,Population_3andover,Enrolled in school,"Enrolled in nursery school, preschool",Enrolled in kindergarten,"Enrolled in college, undergraduate years",Graduate or professional school,Not enrolled in school,Households_earnings,Households_wageorsalaryincome,Households_selfemploymentincome,Households_interest_dividends,Households_SSI,Households_publicassistanceincome,MedianAge_Total,MedianAge_Male,MedianAge_Female,HouseholdIncome_Median,HouseholdIncome_Median_25to44,HouseholdIncome_Median_65andover,HouseholdIncome_Median_45to64,Income_PerCapita,call_ALL_comp,call_Burglary_comp
11833,2018_49_ZONE5B,ZONE5B,49,12,2018,2018_49,28,3,7,3,3,3,5,4,0,0,0,0,0,0,0,0,0,0,0,28,0,0,5,2,1,2,0,0,0,0,0,1,0,0,1,0,0,0,9,1,0,6,1,0,0,0,3,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,5,0,0,3,5,0,0,0,0,0,0,71266466.78,233,9783,0.5384851272615762,0.4615148727384238,4522,0.9842989827509953,0.8065015479876161,0.1371074745687748,9206,0.3601998696502281,0.0250923310884205,0.0170540951553334,0.1621768411905279,0.0443189224418857,0.6398001303497719,3021,0.974180734856008,0.0728235683548493,0.1138695796094008,0.0423700761337305,0.096325719960278,27,27,28,29922,37845.0,29634,47085,17043,131.0,2.0
11834,2018_49_ZONE5C,ZONE5C,49,12,2018,2018_49,16,3,1,4,1,2,3,2,0,0,0,0,0,0,0,0,0,0,0,16,0,0,2,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,4,0,0,2,2,0,0,0,0,0,0,41811770.52,143,3696,0.5062229437229437,0.4937770562770562,1851,0.9292274446245272,0.8087520259319287,0.0788762830902215,3599,0.3036954709641567,0.0152820227841066,0.0133370380661294,0.0947485412614615,0.0202834120589052,0.6963045290358433,1183,0.9442096365173288,0.1808960270498732,0.2823330515638207,0.0380388841927303,0.0245139475908706,36,31,44,50335,50313.0,34793,65231,35589,82.0,3.0
11835,2018_49_ZONE2A,ZONE2A,49,12,2018,2018_49,33,8,3,2,3,7,6,4,0,0,0,0,0,0,0,0,0,0,0,33,0,0,2,0,2,5,0,0,0,0,1,1,0,1,1,0,0,0,11,2,1,6,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,12,0,0,9,5,0,0,0,0,0,0,67322441.35,75,2891,0.5786924939467313,0.4213075060532688,973,1.0,0.8509763617677287,0.1233299075025693,2846,0.1658468025298664,0.0,0.0144061841180604,0.0319747013352073,0.0042164441321152,0.8341531974701335,581,1.0,0.1067125645438898,0.0929432013769363,0.1841652323580034,0.1153184165232358,38,39,37,45937,50703.0,27333,54733,22852,74.0,0.0
11836,2018_49_ZONE1C,ZONE1C,49,12,2018,2018_49,30,2,9,2,3,3,6,4,0,0,0,0,0,0,0,0,0,0,0,29,0,1,3,0,1,2,0,1,1,1,1,0,0,0,1,0,0,0,11,1,0,5,1,2,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,10,0,0,5,2,0,0,0,0,0,0,6501903.903,30,626,0.3226837060702875,0.6773162939297125,317,1.0,0.807570977917981,0.1640378548895899,606,0.1452145214521452,0.0445544554455445,0.0,0.0231023102310231,0.0,0.8547854785478548,229,1.0,0.296943231441048,0.056768558951965,0.1659388646288209,0.0218340611353711,45,37,46,22150,65078.29166666666,18068,34792,14181,253.0,5.0
11837,2018_49_ZONE6B,ZONE6B,49,12,2018,2018_49,8,1,1,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,71519797.81,119,4503,0.4628025760604042,0.5371974239395958,2370,0.978902953586498,0.9236286919831224,0.0362869198312236,4367,0.2974582092970002,0.0041218227616212,0.0306846805587359,0.08816120906801,0.0038928326081978,0.7025417907029998,1313,0.9367859862909368,0.1683168316831683,0.2901751713632902,0.051028179741051,0.0312261995430312,37,35,40,71232,68334.0,47214,80335,28154,53.0,0.0
11838,2018_49_ZONE2D,ZONE2D,49,12,2018,2018_49,9,1,1,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,96764839.98,140,5753,0.4816617416999826,0.5183382583000173,2813,0.9445431923213652,0.8329185922502667,0.0931389975115535,5495,0.2873521383075523,0.0491355777979981,0.019108280254777,0.0445859872611464,0.0078252957233848,0.7126478616924476,1764,0.953514739229025,0.1428571428571428,0.2743764172335601,0.0039682539682539,0.0079365079365079,34,34,35,71448,74738.0,63880,75549,27722,4.0,0.0
11839,2018_49_ZONE1A,ZONE1A,49,12,2018,2018_49,22,6,2,1,6,0,5,1,0,0,0,0,0,0,0,0,0,0,0,21,0,0,5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,8,3,0,0,1,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,6,0,0,2,2,0,0,0,0,0,0,21969431.69,77,2866,0.4811584089323098,0.5188415910676901,1097,0.96718322698268,0.8304466727438469,0.0583409298085688,2763,0.2642055736518277,0.0209916757148027,0.0,0.0318494390155627,0.0275063336952587,0.7357944263481723,905,0.9558011049723756,0.1314917127071823,0.1712707182320442,0.1812154696132596,0.0287292817679558,33,27,40,25994,31089.0,43746,27679,16862,198.0,2.0
11840,2018_49_ZONE1D,ZONE1D,49,12,2018,2018_49,37,5,2,5,5,6,5,9,0,0,0,0,0,0,0,0,0,0,0,37,0,1,9,0,0,7,0,0,0,0,0,0,0,3,2,0,0,1,6,1,1,6,2,1,1,1,2,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9,4,0,0,3,4,0,0,0,0,0,0,130615765.8,182,4522,0.5075187969924813,0.4924812030075188,2366,0.9885883347421808,0.8837700760777684,0.0874894336432798,4358,0.2673244607618174,0.0110142267094997,0.0068838916934373,0.109224414869206,0.0286828820559889,0.7326755392381826,1657,1.0,0.0422450211225105,0.1665660832830416,0.0645745322872661,0.0506940253470126,31,28,32,33225,35873.0,32084,44433,20857,186.0,3.0
11841,2018_49_ZONE1B,ZONE1B,49,12,2018,2018_49,29,6,1,5,9,4,4,3,0,0,0,0,0,0,0,0,0,0,0,32,0,1,4,1,1,11,0,0,0,1,1,1,0,2,0,0,0,0,7,0,1,1,8,0,0,1,0,2,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,2,0,0,3,7,0,0,0,0,0,0,23308652.29,68,3417,0.5750658472344161,0.4249341527655838,2025,0.9841975308641976,0.6809876543209876,0.2251851851851851,3295,0.3010622154779969,0.0088012139605462,0.0045523520485584,0.1811836115326252,0.0406676783004552,0.6989377845220031,1285,1.0,0.0622568093385214,0.1782101167315175,0.0217898832684824,0.0132295719844357,37,38,34,52050,47114.0,81316,55827,22271,257.0,4.0
11842,2018_49_ZONE3D,ZONE3D,49,12,2018,2018_49,6,1,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,72762534.68,199,6399,0.4703859978121582,0.5296140021878418,3302,0.9497274379164145,0.8334342822531798,0.068443367655966,6241,0.3318378464989585,0.014741227367409,0.0065694600224323,0.1735298830315654,0.0112161512578112,0.6681621535010415,2059,0.9645458960660516,0.1233608547838756,0.1996114618746964,0.052938319572608,0.0237979601748421,32,32,29,51135,70660.0,48053,50309,32859,233.0,2.0
11843,2018_49_ZONE7D,ZONE7D,49,12,2018,2018_49,5,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,36142020.32,45,1179,0.4893977947413062,0.5106022052586938,766,0.9516971279373369,0.8981723237597912,0.0535248041775456,1151,0.1494352736750651,0.0,0.0086880973066898,0.0434404865334491,0.0217202432667245,0.8505647263249348,416,0.9495192307692308,0.1947115384615384,0.2740384615384615,0.0192307692307692,0.0,45,48,43,78477,79000.0,68194,97625,37077,26.0,0.0
11844,2018_49_ZONE2B,ZONE2B,49,12,2018,2018_49,4,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,65803266.71,66,4049,0.506544825882934,0.4934551741170659,2079,0.9706589706589708,0.9037999037999038,0.0553150553150553,3893,0.2787053686103262,0.0151554071410223,0.0290264577446699,0.062676599023889,0.0077061392242486,0.7212946313896738,1107,0.953026196928636,0.1264679313459801,0.2990063233965673,0.00903342366757,0.0,30,32,32,74560,55953.0,56630,112939,30678,9.0,0.0
11845,2018_49_ZONE3B,ZONE3B,49,12,2018,2018_49,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,27419461.49,67,3317,0.4648779017184202,0.5351220982815798,1574,0.9866581956797968,0.8742058449809402,0.0997458703939008,3154,0.3126188966391883,0.0339251743817374,0.0142675967025998,0.0466074825618262,0.0269499048826886,0.6873811033608117,869,0.9838895281933256,0.1588032220943613,0.2635212888377445,0.0575373993095512,0.0402761795166858,34,33,35,82265,93336.0,74572,76682,25427,19.0,0.0
11846,2018_49_ZONE5D,ZONE5D,49,12,2018,2018_49,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51888770.74,80,2846,0.5052705551651441,0.4947294448348559,1495,0.9859531772575252,0.91438127090301,0.0454849498327759,2788,0.321377331420373,0.0,0.0365853658536585,0.0814203730272596,0.0100430416068866,0.6786226685796269,771,0.9584954604409858,0.1322957198443579,0.2178988326848249,0.0311284046692607,0.0,36,32,40,69811,102589.0,32045,69947,26675,5.0,0.0
